source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
Q8BUN5	O35253	Smad3	Smad7	True	True	True	True	True	False	A
P97471	O35253	Smad4	Smad7	True	True	False	True	True	False	A
P48755	P54320	Fosl1	Eln	True	False	True	True	False	True	A
P05627	P54320	Jun	Eln	True	False	True	True	False	True	A
Q61221	P39689	Hif1a	Cdkn1a	True	True	False	True	True	False	A
F6VAN0	P20029	Atf6	Hspa5	True	True	False	True	True	False	A
P81269	P27090	Atf1	Tgfb2	True	True	False	True	True	False	A
P01108	B2RQC6	Myc	Cad	True	True	False	True	True	False	A
P23611	O70145	Irf8	Ncf2	True	True	False	True	True	False	A
P08046	Q9JJP2	Egr1	Tp73	True	True	False	True	True	False	A
P81270	P35330	Erg	Icam2	True	True	False	True	True	False	A
A0A979HLR9	P70313	A0A979HLR9	Nos3	True	True	False	True	True	False	A
Q61164	P12023	Ctcf	App	True	True	True	True	True	False	A
P25799	Q64373	Nfkb1	Bcl2l1	True	True	True	True	True	False	A
Q04207	Q64373	Rela	Bcl2l1	True	True	True	True	True	False	A
Q9WTN3	P19096	Srebf1	Fasn	True	True	False	True	True	False	A
P27699	P04351	Crem	Il2	True	True	True	True	True	False	A
Q08874	P11344	Mitf	Tyr	True	True	False	True	True	False	A
Q61221	G5E899	Hif1a	G5E899	True	True	False	True	True	False	A
A0A087WPA7	Q61456	A0A087WPA7	Ccna1	True	True	False	True	True	False	A
Q61501	P55271	E2f1	Cdkn2b	True	True	False	True	True	False	A;D
Q61501	P51943	E2f1	Ccna2	True	True	False	True	True	False	A
A0A087WR05	P97360	A0A087WR05	Etv6	True	True	False	True	True	False	B
P97360	A0A087WR05	Etv6	A0A087WR05	True	False	False	False	False	False	C
P02340	Q9QZM4	Tp53	Tnfrsf10b	True	True	False	True	True	False	A
P02340	P48754	Tp53	Brca1	True	False	True	True	False	True	A
P01108	P14901	Myc	Hmox1	True	True	False	True	True	False	A
Q8BUN5	P39689	Smad3	Cdkn1a	True	True	False	True	True	False	A
F6Y2T6	O70372	F6Y2T6	Tert	True	False	True	True	False	True	A
P01101	P04351	Fos	Il2	True	True	False	True	True	False	A
P19091	P39689	Ar	Cdkn1a	True	True	True	True	True	False	A
P02340	O88898	Tp53	Tp63	True	False	True	True	False	True	A
P08046	P09535	Egr1	Igf2	True	True	False	True	True	False	A
F6Y2T6	P09535	F6Y2T6	Igf2	True	False	True	True	False	True	A
P27577	Q924X4	Ets1	Q924X4	True	True	False	True	True	False	A
A0A979HLR9	E9QAS8	A0A979HLR9	E9QAS8	True	True	False	True	True	False	A
P02340	P04202	Tp53	Tgfb1	True	True	False	True	True	False	A
P02340	Q9Z0J7	Tp53	Gdf15	True	True	False	True	True	False	A
A0A979HLR9	P05480	A0A979HLR9	Src	True	True	False	True	True	False	A
P70340	D3Z4N2	Smad1	D3Z4N2	True	True	False	True	True	False	A
Q61164	P01108	Ctcf	Myc	True	True	True	True	False	True	A
P49698	Q64505	Hnf4a	Cyp7a1	True	False	True	True	False	True	A
P11416	P22605	Rara	Rarb	True	True	False	True	True	False	A
P28033	Q05769	Cebpb	Ptgs2	True	True	True	True	True	False	A
P23204	P11152	Ppara	Lpl	True	True	False	True	True	False	A
Q60867	P01325	Neurod1	Ins1	True	True	False	True	True	False	A
Q60867	P01326	Neurod1	Ins2	True	True	False	True	True	False	A
A0A979HLR9	Q62401	A0A979HLR9	Ccl12	True	True	False	True	True	False	A
Q04207	P11276	Rela	Fn1	True	True	True	True	True	False	A
P25799	P11276	Nfkb1	Fn1	True	True	True	True	True	False	A
Q00175	P01108	Pgr	Myc	True	False	True	True	False	True	A
